Fold,Accuracy,F1,AUC-ROC
7,0.906696159260004,0.8998288408427362,0.9376205543761142
8,0.9082043032374824,0.901481712158272,0.9346034922906562
9,0.9112205911924391,0.9035963552307764,0.935974003842102
10,0.912234844676787,0.9054537053683187,0.9409983042214204
11,0.9090177943098422,0.9011227216811067,0.9359303744496998
12,0.9085059320329781,0.9012678871537496,0.9384410456504466
13,0.91232656344259,0.9057980652936753,0.9386992253812958
14,0.9072994168509954,0.9013110132599506,0.9313500422000625
0,0.884286719613954,0.8299830321425961,0.9024489450816638
1,0.8851915150296572,0.8312832007077784,0.9152269298509943
2,0.8838729137341644,0.8293885664340119,0.9129227500971331
3,0.8802533681882164,0.8241931702569738,0.9110081272977755
4,0.8822642268248542,0.827078531102836,0.9167882906226201
5,0.8820749974866794,0.8268069043264917,0.911862209725666
6,0.8817733990147784,0.8263740231604468,0.9191836579575394
7,0.8813593404383672,0.8257798181148703,0.9140060596217281
8,0.8856826865071386,0.8319892066586386,0.9078804528789566
9,0.8849788859843153,0.830977614085123,0.9145882094501727
10,0.8834824570222177,0.8288277376366426,0.9190991775198984
11,0.8808686035990752,0.825075707385226,0.90382501345954
12,0.8792479388698975,0.8227514017888024,0.9128337401317465
13,0.884275085461492,0.829966317339931,0.9188315867409459
14,0.8879951739392721,0.8353150895975769,0.908647892517498
0,0.884588318085855,0.8307175291315798,0.9130252417080822
1,0.8852920478536243,0.8315284231848845,0.9188082714506067
2,0.8839734566659964,0.8296337454576184,0.9156800466435321
3,0.8804544540518802,0.8246828214814131,0.9155358506905734
4,0.8826663985521818,0.8280568908749097,0.9224440600358619
5,0.8824771287825475,0.8277851301140745,0.9203970267109034
6,0.8819744646627123,0.8270575708639092,0.9209090602379362
7,0.8814598833701991,0.8260248670988255,0.9182365804707712
8,0.8858837723708023,0.8324794035204387,0.9115958203376595
9,0.8855821435753066,0.8324438607463661,0.9155799679189249
10,0.8835829898461848,0.8290728718512159,0.923000980236993
11,0.8810696692470091,0.8255653714932836,0.9142137557943439
12,0.8794490247335612,0.8232409514958993,0.9185312506397139
13,0.8844761713251559,0.8304563731664695,0.9206225004432953
14,0.8879951739392721,0.8355102036644929,0.9099790951135743
0,0.8931336081230522,0.8546176728096083,0.9172524415765954
1,0.8940384035387554,0.8553392627225467,0.9229794009334371
2,0.8941282927810175,0.8573156324167115,0.9203787226310262
3,0.8884978885984315,0.8476319326186356,0.9192961584624068
4,0.8911120048260607,0.8508863657448574,0.92646813666455
5,0.8917261485875139,0.8517162004091635,0.9241220913296686
6,0.8920277470594149,0.8532387529219961,0.9249566346889913
7,0.8892016891212547,0.8489440964811698,0.9224800075020205
8,0.8943293786446813,0.8568914065577268,0.9175852872147529
9,0.8940277498491856,0.8551708310952645,0.9189486595544878
10,0.8934352065949532,0.8546281409406992,0.9264633748350072
11,0.8881069669247009,0.8481380449964027,0.9192038501507758
12,0.8863864870299618,0.843432482816323,0.9219221736793571
13,0.8930223205308667,0.8531068301687329,0.9234325738945147
14,0.8970440378041423,0.8605860248713736,0.9145913220734786
0,0.884286719613954,0.8299830321425961,0.8931438605100099
1,0.8851915150296572,0.8312832007077784,0.9075610299433833
2,0.8838729137341644,0.8293885664340119,0.8959639458103796
3,0.8802533681882164,0.8241931702569738,0.9028022370328387
4,0.8822642268248542,0.827078531102836,0.9055288659216925
5,0.8820749974866794,0.8268069043264917,0.8957297688998592
6,0.8817733990147784,0.8263740231604468,0.9052727293174708
7,0.8813593404383672,0.8257798181148703,0.9012360448883786
8,0.8856826865071386,0.8319892066586386,0.8977081586723741
9,0.8849788859843153,0.830977614085123,0.9069168660809765
10,0.8834824570222177,0.8288277376366426,0.9084708126188233
11,0.8808686035990752,0.825075707385226,0.8920142309955629
12,0.8792479388698975,0.8227514017888024,0.9061477737486725
13,0.884275085461492,0.829966317339931,0.9111631924979093
14,0.8879951739392721,0.8353150895975769,0.8870533928362346
0,0.884286719613954,0.8299830321425961,0.9085759007431307
1,0.8851915150296572,0.8312832007077784,0.9150037144553474
2,0.8838729137341644,0.8293885664340119,0.9125818366974094
3,0.8802533681882164,0.8241931702569738,0.9091915331097833
4,0.8822642268248542,0.827078531102836,0.9180577634719396
5,0.8820749974866794,0.8268069043264917,0.9161275534881698
6,0.8817733990147784,0.8263740231604468,0.9190592238491565
7,0.8813593404383672,0.8257798181148703,0.9135243738326431
8,0.8856826865071386,0.8319892066586386,0.9064664916038435
9,0.8849788859843153,0.830977614085123,0.9119995971989837
10,0.8834824570222177,0.8288277376366426,0.9164534016305081
11,0.8808686035990752,0.825075707385226,0.9109764354515135
12,0.8792479388698975,0.8227514017888024,0.9134808090646778
13,0.884275085461492,0.829966317339931,0.9168624163974379
14,0.8879951739392721,0.8353150895975769,0.905070847725262
0,0.884286719613954,0.8299830321425961,0.8883130571553534
1,0.8851915150296572,0.8312832007077784,0.9070458295169417
2,0.8838729137341644,0.8293885664340119,0.8913746890882599
3,0.8802533681882164,0.8241931702569738,0.8950239301903051
4,0.8822642268248542,0.827078531102836,0.897005749097978
5,0.8820749974866794,0.8268069043264917,0.8954364314778746
6,0.8817733990147784,0.8263740231604468,0.9077887511178225
7,0.8813593404383672,0.8257798181148703,0.8860432448945657
8,0.8856826865071386,0.8319892066586386,0.8870858270100949
9,0.8849788859843153,0.830977614085123,0.9087228665449525
10,0.8834824570222177,0.8288277376366426,0.9008375999431336
11,0.8808686035990752,0.825075707385226,0.8869749695896261
12,0.8792479388698975,0.8227514017888024,0.8913474048927208
13,0.884275085461492,0.829966317339931,0.9071338712808251
14,0.8879951739392721,0.8353150895975769,0.8867765819738247
0,0.9147481652759626,0.9093392933803132,0.939417362129299
1,0.9101236553734794,0.9047777700461902,0.9367670414934994
2,0.9112205911924391,0.9066072071656202,0.9387572197263928
3,0.9072994168509954,0.9004168833086283,0.9356023977662279
4,0.91604665192037,0.91013338946075,0.9437252111205997
5,0.912636975972655,0.9066324368862633,0.9394377735038674
6,0.9107268523172816,0.9055713128116467,0.9398996344632938
7,0.9089081037603056,0.9030870364877563,0.9399442955641404
8,0.9087070178966419,0.9038439886377158,0.9362857787265422
9,0.9130303639654133,0.9065722125741638,0.9366428064664261
10,0.9142455011561275,0.9087445967835378,0.9428144033573118
11,0.9106263194933145,0.9036407401989333,0.9373662834429841
12,0.9110195053287754,0.9046901628330368,0.9407776252779632
13,0.9140357932837322,0.9087354001550885,0.9399946360013217
14,0.907601045646491,0.9026664255771133,0.9338972408151849
0,0.884286719613954,0.8299830321425961,0.8870129539175257
1,0.8851915150296572,0.8312832007077784,0.9079552992399041
2,0.8838729137341644,0.8293885664340119,0.8908481273399941
3,0.8802533681882164,0.8241931702569738,0.8888135890682115
4,0.8822642268248542,0.827078531102836,0.8959668727388626
5,0.8820749974866794,0.8268069043264917,0.8937830441836698
6,0.8817733990147784,0.8263740231604468,0.9001506685218837
7,0.8813593404383672,0.8257798181148703,0.8842223130972131
8,0.8856826865071386,0.8319892066586386,0.8865372955000348
9,0.8849788859843153,0.830977614085123,0.907742280441667
10,0.8834824570222177,0.8288277376366426,0.8968133657827386
11,0.8808686035990752,0.825075707385226,0.8860049677500754
12,0.8792479388698975,0.8227514017888024,0.890980786451542
13,0.884275085461492,0.829966317339931,0.9025601486509247
14,0.8879951739392721,0.8353150895975769,0.8863823285002473
0,0.884286719613954,0.8299830321425961,0.8867410310902711
1,0.8851915150296572,0.8312832007077784,0.9078766840604615
